iter	Passed	Remaining
0	8	8588
1	16	8397
2	26	8702
3	34	8471
4	44	8771
5	53	8897
6	64	9192
7	76	9447
8	88	9728
9	101	10097
10	118	10617
11	133	10966
12	146	11102
13	159	11199
14	171	11247
15	181	11182
16	192	11107
17	201	10994
18	211	10924
19	221	10861
20	230	10766
21	240	10712
22	250	10639
23	258	10496
24	266	10410
25	276	10374
26	286	10312
27	296	10281
28	306	10254
29	315	10195
30	325	10180
31	335	10143
32	345	10118
33	354	10080
34	364	10036
35	373	10004
36	382	9949
37	392	9925
38	401	9882
39	410	9849
40	421	9855
41	432	9864
42	442	9840
43	453	9845
44	463	9825
45	473	9811
46	482	9781
47	491	9748
48	500	9713
49	509	9684
50	518	9653
51	527	9623
52	537	9600
53	545	9564
54	555	9550
55	565	9529
56	574	9504
57	583	9478
58	592	9450
59	602	9431
60	610	9405
61	620	9385
62	629	9360
63	638	9340
64	649	9337
65	658	9322
66	668	9311
67	677	9288
68	686	9261
69	695	9242
70	704	9224
71	714	9208
72	724	9195
73	733	9181
74	743	9163
75	753	9159
76	763	9149
77	772	9131
78	782	9119
79	791	9101
80	800	9085
81	809	9065
82	819	9052
83	828	9038
84	838	9028
85	849	9025
86	858	9012
87	868	9002
88	878	8988
89	887	8975
90	897	8965
91	906	8949
92	916	8936
93	925	8921
94	935	8912
95	945	8902
96	954	8882
97	964	8873
98	974	8865
99	984	8857
100	993	8846
101	1003	8836
102	1013	8823
103	1022	8806
104	1032	8799
105	1041	8785
106	1051	8773
107	1060	8762
108	1070	8748
109	1079	8733
110	1088	8719
111	1098	8707
112	1107	8695
113	1117	8684
114	1126	8671
115	1136	8657
116	1146	8650
117	1155	8637
118	1165	8631
119	1175	8620
120	1184	8606
121	1194	8596
122	1203	8580
123	1213	8570
124	1222	8556
125	1231	8544
126	1242	8538
127	1252	8531
128	1262	8522
129	1271	8512
130	1281	8499
131	1290	8487
132	1300	8474
133	1310	8470
134	1319	8456
135	1329	8446
136	1338	8433
137	1348	8420
138	1357	8410
139	1366	8394
140	1376	8384
141	1385	8373
142	1395	8363
143	1404	8348
144	1413	8336
145	1423	8324
146	1432	8309
147	1442	8301
148	1451	8290
149	1461	8282
150	1471	8272
151	1480	8257
152	1489	8247
153	1498	8233
154	1508	8224
155	1517	8210
156	1527	8199
157	1536	8188
158	1545	8175
159	1554	8161
160	1563	8148
161	1572	8132
162	1581	8121
163	1591	8111
164	1600	8098
165	1609	8088
166	1619	8077
167	1629	8069
168	1639	8060
169	1648	8048
170	1658	8039
171	1667	8027
172	1676	8016
173	1686	8006
174	1695	7994
175	1705	7985
176	1714	7972
177	1724	7964
178	1733	7952
179	1743	7943
180	1753	7934
181	1762	7921
182	1771	7909
183	1780	7897
184	1790	7887
185	1799	7877
186	1809	7866
187	1819	7860
188	1829	7848
189	1840	7846
190	1850	7839
191	1861	7834
192	1874	7839
193	1894	7871
194	1918	7918
195	1940	7958
196	1964	8006
197	1976	8007
198	1988	8003
199	1999	7997
200	2009	7989
201	2021	7985
202	2031	7977
203	2042	7970
204	2055	7969
205	2065	7961
206	2076	7956
207	2086	7946
208	2097	7937
209	2107	7928
210	2118	7921
211	2128	7911
212	2139	7903
213	2149	7896
214	2160	7887
215	2171	7880
216	2181	7869
217	2192	7865
218	2204	7860
219	2214	7852
220	2225	7843
221	2235	7836
222	2246	7826
223	2256	7817
224	2267	7809
225	2277	7799
226	2288	7791
227	2299	7784
228	2309	7775
229	2321	7771
230	2332	7765
231	2343	7756
232	2352	7744
233	2362	7732
234	2370	7717
235	2380	7705
236	2389	7693
237	2399	7682
238	2408	7668
239	2417	7656
240	2427	7643
241	2436	7631
242	2446	7620
243	2455	7607
244	2464	7595
245	2474	7585
246	2484	7574
247	2494	7563
248	2505	7556
249	2515	7547
250	2525	7536
251	2535	7524
252	2544	7513
253	2553	7500
254	2564	7491
255	2573	7479
256	2583	7468
257	2593	7457
258	2602	7445
259	2611	7433
260	2621	7423
261	2632	7415
262	2643	7408
263	2653	7396
264	2662	7385
265	2672	7373
266	2681	7362
267	2691	7351
268	2700	7338
269	2710	7328
270	2719	7316
271	2730	7307
272	2739	7296
273	2749	7284
274	2758	7272
275	2767	7259
276	2777	7248
277	2786	7237
278	2796	7225
279	2805	7214
280	2814	7202
281	2825	7194
282	2835	7183
283	2845	7173
284	2855	7164
285	2866	7155
286	2876	7147
287	2887	7137
288	2897	7127
289	2907	7117
290	2917	7107
291	2927	7098
292	2937	7087
293	2946	7076
294	2956	7066
295	2966	7055
296	2975	7044
297	2985	7033
298	2995	7022
299	3004	7011
300	3014	6999
301	3023	6989
302	3033	6977
303	3044	6971
304	3054	6960
305	3063	6948
306	3073	6937
307	3082	6924
308	3091	6913
309	3100	6902
310	3110	6890
311	3119	6878
312	3128	6867
313	3138	6856
314	3148	6845
315	3157	6833
316	3166	6822
317	3176	6812
318	3186	6801
319	3194	6789
320	3204	6778
321	3213	6766
322	3223	6756
323	3232	6745
324	3242	6735
325	3252	6723
326	3260	6711
327	3270	6700
328	3280	6690
329	3289	6679
330	3299	6669
331	3308	6657
332	3318	6647
333	3327	6635
334	3337	6624
335	3346	6613
336	3355	6602
337	3365	6591
338	3375	6580
339	3384	6570
340	3394	6560
341	3404	6549
342	3414	6540
343	3423	6528
344	3433	6518
345	3442	6506
346	3451	6495
347	3460	6483
348	3470	6472
349	3479	6462
350	3488	6450
351	3498	6439
352	3507	6428
353	3516	6417
354	3526	6407
355	3536	6396
356	3545	6385
357	3554	6374
358	3564	6364
359	3573	6353
360	3583	6342
361	3592	6330
362	3602	6321
363	3613	6313
364	3622	6303
365	3633	6293
366	3642	6283
367	3652	6273
368	3663	6265
369	3673	6255
370	3684	6246
371	3694	6236
372	3703	6225
