model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_3_AutoML_1_20230728_74933,0.8081934692553461,0.15742338183112145,0.26518487643497,0.3369876809503333,0.2005595209214711,0.04022412143225002,725,0.015886,StackedEnsemble
GBM_grid_1_AutoML_1_20230728_74933_model_2,0.8080719281858703,0.1572313865867869,0.2678458560535704,0.3360117881402895,0.20037076559203085,0.040148443703936575,529,0.009056999999999999,GBM
StackedEnsemble_BestOfFamily_4_AutoML_1_20230728_74933,0.806771002806768,0.1574289152773908,0.2657387814425771,0.3359854126589369,0.20048083247623827,0.04019256419036552,475,0.009335,StackedEnsemble
StackedEnsemble_AllModels_2_AutoML_1_20230728_74933,0.8051823872760729,0.15847690972050274,0.2619124736264589,0.3372064439084537,0.20097928016989888,0.04039267105761071,601,0.010948000000000001,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20230728_74933,0.8042255221001858,0.15835177990199387,0.2640141081197596,0.342655283864336,0.2007502067223843,0.04030064549908004,565,0.013091,StackedEnsemble
StackedEnsemble_BestOfFamily_2_AutoML_1_20230728_74933,0.8022789183574117,0.15856401171357984,0.2649357515639158,0.3364012240416735,0.2006939638529083,0.04027806712699247,697,0.010195000000000001,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20230728_74933,0.8021852333056637,0.1585126221468816,0.2661349218125918,0.3367099707106037,0.20062681747419284,0.040251119889823085,871,0.00731,StackedEnsemble
StackedEnsemble_BestOfFamily_3_AutoML_1_20230728_74933,0.8016275920216418,0.15868506544205335,0.2626730777222524,0.3499054156594907,0.2007532506831516,0.0403018676598523,499,0.009487,StackedEnsemble
GBM_1_AutoML_1_20230728_74933,0.8000149040661779,0.158717939267242,0.26479568564119976,0.33385522240562593,0.2006273898424016,0.04025134955497498,997,0.0069,GBM
GBM_2_AutoML_1_20230728_74933,0.7971278855516868,0.16263382917516944,0.23296178163355136,0.3346014949907971,0.20408701936517876,0.04165151147336284,627,0.0059770000000000005,GBM
GBM_3_AutoML_1_20230728_74933,0.7971161783473858,0.16176414567822744,0.2408741687222379,0.347153071120471,0.2032761773218929,0.04132120426660165,470,0.006086,GBM
GBM_5_AutoML_1_20230728_74933,0.7960523581270534,0.1627724652502923,0.23902975227962744,0.33774637359065274,0.20398847697850395,0.04161129874000965,468,0.005219,GBM
GBM_grid_1_AutoML_1_20230728_74933_model_1,0.7893676541405612,0.16310196315761122,0.2380126857931808,0.3417802594491944,0.2035584856523392,0.041436057081073584,495,0.005359,GBM
GBM_4_AutoML_1_20230728_74933,0.7858117073578381,0.1641354182238077,0.2315213375492389,0.3666382732690693,0.2039678976468717,0.04160290327048473,551,0.0058390000000000004,GBM
GLM_1_AutoML_1_20230728_74933,0.7834068501895689,0.1632490736081366,0.24669066644952534,0.3717597501819689,0.20277558463901948,0.04111793772569616,284,0.001114,GLM
GBM_grid_1_AutoML_1_20230728_74933_model_3,0.7820908452733109,0.1653189898712175,0.22530738563653235,0.3606619236861364,0.20487067644495732,0.0419719940670144,395,0.005098,GBM
DRF_1_AutoML_1_20230728_74933,0.7749522198010883,0.16605397107831532,0.23796307511729103,0.34214331986922586,0.2036966438150995,0.041492322701535515,741,0.006759,DRF
GBM_grid_1_AutoML_1_20230728_74933_model_4,0.7740862979429208,0.1711867578494515,0.21121328026572947,0.3681416757061637,0.20657777913906894,0.04267437883402996,127,0.002758,GBM
XRT_1_AutoML_1_20230728_74933,0.7364589046421615,0.1823901829528325,0.2082806506999582,0.3635663247943672,0.20819164791946831,0.04334376226342386,314,0.0032259999999999997,DRF
GBM_grid_1_AutoML_1_20230728_74933_model_5,0.6571113397351727,0.1822730687062764,0.1773981822192856,0.3839964107411488,0.21005559709029709,0.044123353868961226,39,0.001444,GBM
