model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_3_AutoML_1_20230805_105950,0.8181175594136505,0.1549600625221736,0.2836638784651279,0.3259022470923088,0.1994588714115116,0.03978384138475392,460,0.009062,StackedEnsemble
GBM_lr_annealing_selection_AutoML_1_20230805_105950_select_model,0.8142288757892493,0.15630370020565262,0.2733111688685468,0.3338459005099296,0.2000192897232676,0.040007716261400456,317,0.005384000000000001,GBM
StackedEnsemble_BestOfFamily_4_AutoML_1_20230805_105950,0.8114356245785269,0.1566387658315694,0.2757838318491399,0.33105166227495714,0.2001901469005739,0.04007609491607337,350,0.008611,StackedEnsemble
GBM_grid_1_AutoML_1_20230805_105950_model_10,0.8107796372949088,0.15693095149460887,0.2671421746419201,0.3278245590715918,0.20040465685605768,0.040162026489594216,258,0.004682,GBM
StackedEnsemble_BestOfFamily_5_AutoML_1_20230805_105950,0.8100104986479413,0.15754618113011215,0.2561379354332562,0.3231483671822333,0.2013036995209659,0.04052317944082735,2397,0.011184999999999999,StackedEnsemble
GBM_grid_1_AutoML_1_20230805_105950_model_2,0.8080719281858703,0.1572313865867869,0.2678458560535704,0.3360117881402895,0.20037076559203085,0.040148443703936575,291,0.005568,GBM
StackedEnsemble_AllModels_2_AutoML_1_20230805_105950,0.8052580043005743,0.15849033270294102,0.2620339964437203,0.3370295746462862,0.20097331361747076,0.04039027278638625,460,0.009401000000000001,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20230805_105950,0.8046355210067823,0.15829790399924576,0.26457610669051473,0.33854693250958484,0.20070881196724216,0.040284027201301774,345,0.009014,StackedEnsemble
StackedEnsemble_BestOfFamily_2_AutoML_1_20230805_105950,0.8028807838113108,0.1584531106670248,0.26513777048121645,0.3447839387465911,0.2006655923162012,0.040266679939611874,479,0.009198999999999999,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20230805_105950,0.8021347031475217,0.1585126221468817,0.2661214435103033,0.3367099707106037,0.20062681747419284,0.040251119889823085,582,0.005515,StackedEnsemble
StackedEnsemble_BestOfFamily_3_AutoML_1_20230805_105950,0.8020689015308418,0.158563879560378,0.2642043513668487,0.32891527570274204,0.2006933064473767,0.040277803252780665,321,0.00883,StackedEnsemble
GBM_grid_1_AutoML_1_20230805_105950_model_11,0.8003969921203661,0.15944424022505008,0.2574701270391126,0.35372829766721203,0.20141973075678546,0.04056990793813593,278,0.004465,GBM
GBM_1_AutoML_1_20230805_105950,0.8000149040661779,0.158717939267242,0.26479568564119976,0.33385522240562593,0.2006273898424016,0.04025134955497498,570,0.0050869999999999995,GBM
GBM_2_AutoML_1_20230805_105950,0.7971278855516868,0.16263382917516944,0.23296178163355136,0.3346014949907971,0.20408701936517876,0.04165151147336284,260,0.004239,GBM
GBM_3_AutoML_1_20230805_105950,0.7971161783473858,0.16176414567822744,0.2408741687222379,0.347153071120471,0.2032761773218929,0.04132120426660165,243,0.00418,GBM
